영업일자,영업장명_메뉴명,매출수량,요일,주중,주말,공휴일
2023-04-19,느티나무 셀프BBQ_1인 수저세트,0,수,1,0,0
2023-04-20,느티나무 셀프BBQ_1인 수저세트,0,목,1,0,0
2023-04-21,느티나무 셀프BBQ_1인 수저세트,8,금,1,0,0
2023-04-22,느티나무 셀프BBQ_1인 수저세트,5,토,0,1,0
2023-04-23,느티나무 셀프BBQ_1인 수저세트,0,일,0,1,0
2023-04-24,느티나무 셀프BBQ_1인 수저세트,0,월,1,0,0
2023-04-25,느티나무 셀프BBQ_1인 수저세트,2,화,1,0,0
2023-04-26,느티나무 셀프BBQ_1인 수저세트,0,수,1,0,0
2023-04-27,느티나무 셀프BBQ_1인 수저세트,1,목,1,0,0
2023-04-28,느티나무 셀프BBQ_1인 수저세트,16,금,1,0,0
2023-04-29,느티나무 셀프BBQ_1인 수저세트,0,토,0,1,0
2023-04-30,느티나무 셀프BBQ_1인 수저세트,10,일,0,1,0
2023-05-01,느티나무 셀프BBQ_1인 수저세트,0,월,1,0,1
2023-05-02,느티나무 셀프BBQ_1인 수저세트,0,화,1,0,0
2023-05-03,느티나무 셀프BBQ_1인 수저세트,2,수,1,0,0
2023-05-04,느티나무 셀프BBQ_1인 수저세트,12,목,1,0,0
2023-05-05,느티나무 셀프BBQ_1인 수저세트,0,금,1,0,1
2023-05-06,느티나무 셀프BBQ_1인 수저세트,22,토,0,1,0
2023-05-07,느티나무 셀프BBQ_1인 수저세트,12,일,0,1,0
2023-05-08,느티나무 셀프BBQ_1인 수저세트,0,월,1,0,0
2023-05-09,느티나무 셀프BBQ_1인 수저세트,0,화,1,0,0
2023-05-10,느티나무 셀프BBQ_1인 수저세트,0,수,1,0,0
2023-05-11,느티나무 셀프BBQ_1인 수저세트,3,목,1,0,0
2023-05-12,느티나무 셀프BBQ_1인 수저세트,0,금,1,0,0
2023-05-13,느티나무 셀프BBQ_1인 수저세트,16,토,0,1,0
2023-05-14,느티나무 셀프BBQ_1인 수저세트,7,일,0,1,0
2023-05-15,느티나무 셀프BBQ_1인 수저세트,0,월,1,0,0
2023-05-16,느티나무 셀프BBQ_1인 수저세트,0,화,1,0,0
2023-05-17,느티나무 셀프BBQ_1인 수저세트,0,수,1,0,0
2023-05-18,느티나무 셀프BBQ_1인 수저세트,0,목,1,0,0
2023-05-19,느티나무 셀프BBQ_1인 수저세트,12,금,1,0,0
2023-05-20,느티나무 셀프BBQ_1인 수저세트,22,토,0,1,0
2023-05-21,느티나무 셀프BBQ_1인 수저세트,8,일,0,1,0
2023-05-22,느티나무 셀프BBQ_1인 수저세트,0,월,1,0,0
2023-05-23,느티나무 셀프BBQ_1인 수저세트,0,화,1,0,0
2023-05-24,느티나무 셀프BBQ_1인 수저세트,0,수,1,0,0
2023-05-25,느티나무 셀프BBQ_1인 수저세트,1,목,1,0,0
2023-05-26,느티나무 셀프BBQ_1인 수저세트,7,금,1,0,0
2023-05-27,느티나무 셀프BBQ_1인 수저세트,5,토,0,1,1
2023-05-28,느티나무 셀프BBQ_1인 수저세트,6,일,0,1,0
2023-05-29,느티나무 셀프BBQ_1인 수저세트,0,월,1,0,0
2023-05-30,느티나무 셀프BBQ_1인 수저세트,0,화,1,0,0
2023-05-31,느티나무 셀프BBQ_1인 수저세트,0,수,1,0,0
2023-06-01,느티나무 셀프BBQ_1인 수저세트,4,목,1,0,0
2023-06-02,느티나무 셀프BBQ_1인 수저세트,16,금,1,0,0
2023-06-03,느티나무 셀프BBQ_1인 수저세트,10,토,0,1,0
2023-06-04,느티나무 셀프BBQ_1인 수저세트,10,일,0,1,0
2023-06-05,느티나무 셀프BBQ_1인 수저세트,16,월,1,0,0
2023-06-06,느티나무 셀프BBQ_1인 수저세트,0,화,1,0,1
2023-06-07,느티나무 셀프BBQ_1인 수저세트,0,수,1,0,0
2023-06-08,느티나무 셀프BBQ_1인 수저세트,0,목,1,0,0
2023-06-09,느티나무 셀프BBQ_1인 수저세트,0,금,1,0,0
2023-06-10,느티나무 셀프BBQ_1인 수저세트,1,토,0,1,0
2023-06-11,느티나무 셀프BBQ_1인 수저세트,2,일,0,1,0
2023-06-12,느티나무 셀프BBQ_1인 수저세트,0,월,1,0,0
2023-06-13,느티나무 셀프BBQ_1인 수저세트,4,화,1,0,0
2023-06-14,느티나무 셀프BBQ_1인 수저세트,0,수,1,0,0
2023-06-15,느티나무 셀프BBQ_1인 수저세트,1,목,1,0,0
2023-06-16,느티나무 셀프BBQ_1인 수저세트,9,금,1,0,0
2023-06-17,느티나무 셀프BBQ_1인 수저세트,4,토,0,1,0
2023-06-18,느티나무 셀프BBQ_1인 수저세트,8,일,0,1,0
2023-06-19,느티나무 셀프BBQ_1인 수저세트,0,월,1,0,0
2023-06-20,느티나무 셀프BBQ_1인 수저세트,5,화,1,0,0
2023-06-21,느티나무 셀프BBQ_1인 수저세트,0,수,1,0,0
2023-06-22,느티나무 셀프BBQ_1인 수저세트,0,목,1,0,0
2023-06-23,느티나무 셀프BBQ_1인 수저세트,4,금,1,0,0
2023-06-24,느티나무 셀프BBQ_1인 수저세트,29,토,0,1,0
2023-06-25,느티나무 셀프BBQ_1인 수저세트,6,일,0,1,0
2023-06-26,느티나무 셀프BBQ_1인 수저세트,0,월,1,0,0
2023-06-27,느티나무 셀프BBQ_1인 수저세트,0,화,1,0,0
2023-06-28,느티나무 셀프BBQ_1인 수저세트,24,수,1,0,0
2023-06-29,느티나무 셀프BBQ_1인 수저세트,3,목,1,0,0
2023-06-30,느티나무 셀프BBQ_1인 수저세트,8,금,1,0,0
2023-07-01,느티나무 셀프BBQ_1인 수저세트,15,토,0,1,0
2023-07-02,느티나무 셀프BBQ_1인 수저세트,7,일,0,1,0
2023-07-03,느티나무 셀프BBQ_1인 수저세트,0,월,1,0,0
2023-07-04,느티나무 셀프BBQ_1인 수저세트,0,화,1,0,0
2023-07-05,느티나무 셀프BBQ_1인 수저세트,0,수,1,0,0
2023-07-06,느티나무 셀프BBQ_1인 수저세트,3,목,1,0,0
2023-07-07,느티나무 셀프BBQ_1인 수저세트,19,금,1,0,0
2023-07-08,느티나무 셀프BBQ_1인 수저세트,46,토,0,1,0
2023-07-09,느티나무 셀프BBQ_1인 수저세트,5,일,0,1,0
2023-07-10,느티나무 셀프BBQ_1인 수저세트,0,월,1,0,0
2023-07-11,느티나무 셀프BBQ_1인 수저세트,0,화,1,0,0
2023-07-12,느티나무 셀프BBQ_1인 수저세트,2,수,1,0,0
2023-07-13,느티나무 셀프BBQ_1인 수저세트,10,목,1,0,0
2023-07-14,느티나무 셀프BBQ_1인 수저세트,22,금,1,0,0
2023-07-15,느티나무 셀프BBQ_1인 수저세트,15,토,0,1,0
2023-07-16,느티나무 셀프BBQ_1인 수저세트,7,일,0,1,0
2023-07-17,느티나무 셀프BBQ_1인 수저세트,14,월,1,0,0
2023-07-18,느티나무 셀프BBQ_1인 수저세트,3,화,1,0,0
2023-07-19,느티나무 셀프BBQ_1인 수저세트,12,수,1,0,0
2023-07-20,느티나무 셀프BBQ_1인 수저세트,8,목,1,0,0
2023-07-21,느티나무 셀프BBQ_1인 수저세트,16,금,1,0,0
2023-07-22,느티나무 셀프BBQ_1인 수저세트,10,토,0,1,0
2023-07-23,느티나무 셀프BBQ_1인 수저세트,15,일,0,1,0
2023-07-24,느티나무 셀프BBQ_1인 수저세트,16,월,1,0,0
2023-07-25,느티나무 셀프BBQ_1인 수저세트,10,화,1,0,0
2023-07-26,느티나무 셀프BBQ_1인 수저세트,29,수,1,0,0
2023-07-27,느티나무 셀프BBQ_1인 수저세트,13,목,1,0,0
2023-07-28,느티나무 셀프BBQ_1인 수저세트,10,금,1,0,0
2023-07-29,느티나무 셀프BBQ_1인 수저세트,9,토,0,1,0
2023-07-30,느티나무 셀프BBQ_1인 수저세트,4,일,0,1,0
2023-07-31,느티나무 셀프BBQ_1인 수저세트,18,월,1,0,0
2023-08-01,느티나무 셀프BBQ_1인 수저세트,14,화,1,0,0
2023-08-02,느티나무 셀프BBQ_1인 수저세트,9,수,1,0,0
2023-08-03,느티나무 셀프BBQ_1인 수저세트,25,목,1,0,0
2023-08-04,느티나무 셀프BBQ_1인 수저세트,14,금,1,0,0
2023-08-05,느티나무 셀프BBQ_1인 수저세트,27,토,0,1,0
2023-08-06,느티나무 셀프BBQ_1인 수저세트,7,일,0,1,0
2023-08-07,느티나무 셀프BBQ_1인 수저세트,23,월,1,0,0
2023-08-08,느티나무 셀프BBQ_1인 수저세트,12,화,1,0,0
2023-08-09,느티나무 셀프BBQ_1인 수저세트,18,수,1,0,0
2023-08-10,느티나무 셀프BBQ_1인 수저세트,0,목,1,0,0
2023-08-11,느티나무 셀프BBQ_1인 수저세트,16,금,1,0,0
2023-08-12,느티나무 셀프BBQ_1인 수저세트,15,토,0,1,0
2023-08-13,느티나무 셀프BBQ_1인 수저세트,28,일,0,1,0
2023-08-14,느티나무 셀프BBQ_1인 수저세트,19,월,1,0,0
2023-08-15,느티나무 셀프BBQ_1인 수저세트,13,화,1,0,1
2023-08-16,느티나무 셀프BBQ_1인 수저세트,9,수,1,0,0
2023-08-17,느티나무 셀프BBQ_1인 수저세트,10,목,1,0,0
2023-08-18,느티나무 셀프BBQ_1인 수저세트,8,금,1,0,0
2023-08-19,느티나무 셀프BBQ_1인 수저세트,19,토,0,1,0
2023-08-20,느티나무 셀프BBQ_1인 수저세트,14,일,0,1,0
2023-08-21,느티나무 셀프BBQ_1인 수저세트,4,월,1,0,0
2023-08-22,느티나무 셀프BBQ_1인 수저세트,0,화,1,0,0
2023-08-23,느티나무 셀프BBQ_1인 수저세트,5,수,1,0,0
2023-08-24,느티나무 셀프BBQ_1인 수저세트,13,목,1,0,0
2023-08-25,느티나무 셀프BBQ_1인 수저세트,27,금,1,0,0
2023-08-26,느티나무 셀프BBQ_1인 수저세트,1,토,0,1,0
2023-08-27,느티나무 셀프BBQ_1인 수저세트,39,일,0,1,0
2023-08-28,느티나무 셀프BBQ_1인 수저세트,0,월,1,0,0
2023-08-29,느티나무 셀프BBQ_1인 수저세트,0,화,1,0,0
2023-08-30,느티나무 셀프BBQ_1인 수저세트,0,수,1,0,0
2023-08-31,느티나무 셀프BBQ_1인 수저세트,4,목,1,0,0
2023-09-01,느티나무 셀프BBQ_1인 수저세트,17,금,1,0,0
2023-09-02,느티나무 셀프BBQ_1인 수저세트,35,토,0,1,0
2023-09-03,느티나무 셀프BBQ_1인 수저세트,6,일,0,1,0
2023-09-04,느티나무 셀프BBQ_1인 수저세트,0,월,1,0,0
2023-09-05,느티나무 셀프BBQ_1인 수저세트,0,화,1,0,0
2023-09-06,느티나무 셀프BBQ_1인 수저세트,2,수,1,0,0
2023-09-07,느티나무 셀프BBQ_1인 수저세트,5,목,1,0,0
2023-09-08,느티나무 셀프BBQ_1인 수저세트,8,금,1,0,0
2023-09-09,느티나무 셀프BBQ_1인 수저세트,31,토,0,1,0
2023-09-10,느티나무 셀프BBQ_1인 수저세트,4,일,0,1,0
2023-09-11,느티나무 셀프BBQ_1인 수저세트,0,월,1,0,0
2023-09-12,느티나무 셀프BBQ_1인 수저세트,0,화,1,0,0
2023-09-13,느티나무 셀프BBQ_1인 수저세트,0,수,1,0,0
2023-09-14,느티나무 셀프BBQ_1인 수저세트,36,목,1,0,0
2023-09-15,느티나무 셀프BBQ_1인 수저세트,7,금,1,0,0
2023-09-16,느티나무 셀프BBQ_1인 수저세트,15,토,0,1,0
2023-09-17,느티나무 셀프BBQ_1인 수저세트,2,일,0,1,0
2023-09-18,느티나무 셀프BBQ_1인 수저세트,0,월,1,0,0
2023-09-19,느티나무 셀프BBQ_1인 수저세트,0,화,1,0,0
2023-09-20,느티나무 셀프BBQ_1인 수저세트,2,수,1,0,0
2023-09-21,느티나무 셀프BBQ_1인 수저세트,0,목,1,0,0
2023-09-22,느티나무 셀프BBQ_1인 수저세트,0,금,1,0,0
2023-09-23,느티나무 셀프BBQ_1인 수저세트,15,토,0,1,0
2023-09-24,느티나무 셀프BBQ_1인 수저세트,15,일,0,1,0
2023-09-25,느티나무 셀프BBQ_1인 수저세트,0,월,1,0,0
2023-09-26,느티나무 셀프BBQ_1인 수저세트,0,화,1,0,0
2023-09-27,느티나무 셀프BBQ_1인 수저세트,5,수,1,0,0
2023-09-28,느티나무 셀프BBQ_1인 수저세트,18,목,1,0,1
2023-09-29,느티나무 셀프BBQ_1인 수저세트,5,금,1,0,1
2023-09-30,느티나무 셀프BBQ_1인 수저세트,0,토,0,1,1
2023-10-01,느티나무 셀프BBQ_1인 수저세트,0,일,0,1,0
2023-10-02,느티나무 셀프BBQ_1인 수저세트,36,월,1,0,1
2023-10-03,느티나무 셀프BBQ_1인 수저세트,3,화,1,0,1
2023-10-04,느티나무 셀프BBQ_1인 수저세트,4,수,1,0,0
2023-10-05,느티나무 셀프BBQ_1인 수저세트,4,목,1,0,0
2023-10-06,느티나무 셀프BBQ_1인 수저세트,4,금,1,0,0
2023-10-07,느티나무 셀프BBQ_1인 수저세트,29,토,0,1,0
2023-10-08,느티나무 셀프BBQ_1인 수저세트,28,일,0,1,0
2023-10-09,느티나무 셀프BBQ_1인 수저세트,4,월,1,0,1
2023-10-10,느티나무 셀프BBQ_1인 수저세트,2,화,1,0,0
2023-10-11,느티나무 셀프BBQ_1인 수저세트,3,수,1,0,0
2023-10-12,느티나무 셀프BBQ_1인 수저세트,2,목,1,0,0
2023-10-13,느티나무 셀프BBQ_1인 수저세트,6,금,1,0,0
2023-10-14,느티나무 셀프BBQ_1인 수저세트,17,토,0,1,0
2023-10-15,느티나무 셀프BBQ_1인 수저세트,4,일,0,1,0
2023-10-16,느티나무 셀프BBQ_1인 수저세트,0,월,1,0,0
2023-10-17,느티나무 셀프BBQ_1인 수저세트,0,화,1,0,0
2023-10-18,느티나무 셀프BBQ_1인 수저세트,8,수,1,0,0
2023-10-19,느티나무 셀프BBQ_1인 수저세트,20,목,1,0,0
2023-10-20,느티나무 셀프BBQ_1인 수저세트,19,금,1,0,0
2023-10-21,느티나무 셀프BBQ_1인 수저세트,16,토,0,1,0
2023-10-22,느티나무 셀프BBQ_1인 수저세트,25,일,0,1,0
2023-10-23,느티나무 셀프BBQ_1인 수저세트,0,월,1,0,0
2023-10-24,느티나무 셀프BBQ_1인 수저세트,0,화,1,0,0
2023-10-25,느티나무 셀프BBQ_1인 수저세트,16,수,1,0,0
2023-10-26,느티나무 셀프BBQ_1인 수저세트,10,목,1,0,0
2023-10-27,느티나무 셀프BBQ_1인 수저세트,14,금,1,0,0
2023-10-28,느티나무 셀프BBQ_1인 수저세트,12,토,0,1,0
2023-10-29,느티나무 셀프BBQ_1인 수저세트,26,일,0,1,0
2023-10-30,느티나무 셀프BBQ_1인 수저세트,0,월,1,0,0
2023-10-31,느티나무 셀프BBQ_1인 수저세트,5,화,1,0,0
2023-11-01,느티나무 셀프BBQ_1인 수저세트,0,수,1,0,0
2023-11-02,느티나무 셀프BBQ_1인 수저세트,0,목,1,0,0
2023-11-03,느티나무 셀프BBQ_1인 수저세트,7,금,1,0,0
2023-11-04,느티나무 셀프BBQ_1인 수저세트,0,토,0,1,0
2023-11-05,느티나무 셀프BBQ_1인 수저세트,4,일,0,1,0
2023-11-06,느티나무 셀프BBQ_1인 수저세트,0,월,1,0,0
2023-11-07,느티나무 셀프BBQ_1인 수저세트,12,화,1,0,0
2023-11-08,느티나무 셀프BBQ_1인 수저세트,11,수,1,0,0
2023-11-09,느티나무 셀프BBQ_1인 수저세트,0,목,1,0,0
2023-11-10,느티나무 셀프BBQ_1인 수저세트,0,금,1,0,0
2023-11-11,느티나무 셀프BBQ_1인 수저세트,0,토,0,1,0
2023-11-12,느티나무 셀프BBQ_1인 수저세트,15,일,0,1,0
2023-11-13,느티나무 셀프BBQ_1인 수저세트,0,월,1,0,0
2023-11-14,느티나무 셀프BBQ_1인 수저세트,2,화,1,0,0
2023-11-15,느티나무 셀프BBQ_1인 수저세트,0,수,1,0,0
2023-11-16,느티나무 셀프BBQ_1인 수저세트,7,목,1,0,0
2023-11-17,느티나무 셀프BBQ_1인 수저세트,0,금,1,0,0
2023-11-18,느티나무 셀프BBQ_1인 수저세트,9,토,0,1,0
2023-11-19,느티나무 셀프BBQ_1인 수저세트,0,일,0,1,0
2023-11-20,느티나무 셀프BBQ_1인 수저세트,0,월,1,0,0
2023-11-21,느티나무 셀프BBQ_1인 수저세트,0,화,1,0,0
2023-11-22,느티나무 셀프BBQ_1인 수저세트,0,수,1,0,0
2023-11-23,느티나무 셀프BBQ_1인 수저세트,6,목,1,0,0
2023-11-24,느티나무 셀프BBQ_1인 수저세트,0,금,1,0,0
2023-11-25,느티나무 셀프BBQ_1인 수저세트,19,토,0,1,0
2023-11-26,느티나무 셀프BBQ_1인 수저세트,15,일,0,1,0
2023-11-27,느티나무 셀프BBQ_1인 수저세트,0,월,1,0,0
2023-11-28,느티나무 셀프BBQ_1인 수저세트,0,화,1,0,0
2023-11-29,느티나무 셀프BBQ_1인 수저세트,5,수,1,0,0
2023-11-30,느티나무 셀프BBQ_1인 수저세트,0,목,1,0,0
2023-12-01,느티나무 셀프BBQ_1인 수저세트,0,금,1,0,0
2023-12-02,느티나무 셀프BBQ_1인 수저세트,3,토,0,1,0
2023-12-03,느티나무 셀프BBQ_1인 수저세트,0,일,0,1,0
2023-12-04,느티나무 셀프BBQ_1인 수저세트,0,월,1,0,0
2023-12-05,느티나무 셀프BBQ_1인 수저세트,0,화,1,0,0
2023-12-06,느티나무 셀프BBQ_1인 수저세트,9,수,1,0,0
2023-12-07,느티나무 셀프BBQ_1인 수저세트,0,목,1,0,0
2023-12-08,느티나무 셀프BBQ_1인 수저세트,8,금,1,0,0
2023-12-09,느티나무 셀프BBQ_1인 수저세트,4,토,0,1,0
2023-12-10,느티나무 셀프BBQ_1인 수저세트,2,일,0,1,0
2023-12-11,느티나무 셀프BBQ_1인 수저세트,4,월,1,0,0
2023-12-12,느티나무 셀프BBQ_1인 수저세트,21,화,1,0,0
2023-12-13,느티나무 셀프BBQ_1인 수저세트,3,수,1,0,0
2023-12-14,느티나무 셀프BBQ_1인 수저세트,7,목,1,0,0
2023-12-15,느티나무 셀프BBQ_1인 수저세트,15,금,1,0,0
2023-12-16,느티나무 셀프BBQ_1인 수저세트,2,토,0,1,0
2023-12-17,느티나무 셀프BBQ_1인 수저세트,4,일,0,1,0
2023-12-18,느티나무 셀프BBQ_1인 수저세트,4,월,1,0,0
2023-12-19,느티나무 셀프BBQ_1인 수저세트,0,화,1,0,0
2023-12-20,느티나무 셀프BBQ_1인 수저세트,0,수,1,0,0
2023-12-21,느티나무 셀프BBQ_1인 수저세트,0,목,1,0,0
2023-12-22,느티나무 셀프BBQ_1인 수저세트,0,금,1,0,0
2023-12-23,느티나무 셀프BBQ_1인 수저세트,0,토,0,1,0
2023-12-24,느티나무 셀프BBQ_1인 수저세트,2,일,0,1,0
2023-12-25,느티나무 셀프BBQ_1인 수저세트,8,월,1,0,1
2023-12-26,느티나무 셀프BBQ_1인 수저세트,0,화,1,0,0
2023-12-27,느티나무 셀프BBQ_1인 수저세트,4,수,1,0,0
2023-12-28,느티나무 셀프BBQ_1인 수저세트,12,목,1,0,0
2023-12-29,느티나무 셀프BBQ_1인 수저세트,0,금,1,0,0
2023-12-30,느티나무 셀프BBQ_1인 수저세트,3,토,0,1,0
2023-12-31,느티나무 셀프BBQ_1인 수저세트,0,일,0,1,0
2024-01-01,느티나무 셀프BBQ_1인 수저세트,0,월,1,0,1
