영업일자,매출수량,영업장명,메뉴명,월,요일,주중,주말,공휴일,연속된_공휴일_남은일수,성수기,시즌
2023-02-17,0,느티나무 셀프BBQ,1인 수저세트,2,금요일,0,1,0,0.0,1,겨울
2023-02-18,9,느티나무 셀프BBQ,1인 수저세트,2,토요일,0,1,0,0.0,1,겨울
2023-02-19,2,느티나무 셀프BBQ,1인 수저세트,2,일요일,1,0,0,0.0,1,겨울
2023-02-20,10,느티나무 셀프BBQ,1인 수저세트,2,월요일,1,0,0,0.0,1,겨울
2023-02-21,0,느티나무 셀프BBQ,1인 수저세트,2,화요일,1,0,0,0.0,1,겨울
2023-02-22,2,느티나무 셀프BBQ,1인 수저세트,2,수요일,1,0,0,0.0,1,겨울
2023-02-23,0,느티나무 셀프BBQ,1인 수저세트,2,목요일,1,0,0,0.0,1,겨울
2023-02-24,8,느티나무 셀프BBQ,1인 수저세트,2,금요일,0,1,0,0.0,1,겨울
2023-02-25,7,느티나무 셀프BBQ,1인 수저세트,2,토요일,0,1,0,0.0,1,겨울
2023-02-26,0,느티나무 셀프BBQ,1인 수저세트,2,일요일,1,0,0,0.0,1,겨울
2023-02-27,6,느티나무 셀프BBQ,1인 수저세트,2,월요일,1,0,0,0.0,1,겨울
2023-02-28,0,느티나무 셀프BBQ,1인 수저세트,2,화요일,1,0,0,0.0,1,겨울
2023-03-01,0,느티나무 셀프BBQ,1인 수저세트,3,수요일,1,0,1,1.0,0,겨울
2023-03-02,0,느티나무 셀프BBQ,1인 수저세트,3,목요일,1,0,0,0.0,0,겨울
2023-03-03,0,느티나무 셀프BBQ,1인 수저세트,3,금요일,0,1,0,0.0,0,겨울
2023-03-04,0,느티나무 셀프BBQ,1인 수저세트,3,토요일,0,1,0,0.0,0,겨울
2023-03-05,0,느티나무 셀프BBQ,1인 수저세트,3,일요일,1,0,0,0.0,0,겨울
2023-03-06,0,느티나무 셀프BBQ,1인 수저세트,3,월요일,1,0,0,0.0,0,겨울
2023-03-07,0,느티나무 셀프BBQ,1인 수저세트,3,화요일,1,0,0,0.0,0,겨울
2023-03-08,0,느티나무 셀프BBQ,1인 수저세트,3,수요일,1,0,0,0.0,0,겨울
2023-03-09,0,느티나무 셀프BBQ,1인 수저세트,3,목요일,1,0,0,0.0,0,겨울
2023-03-10,6,느티나무 셀프BBQ,1인 수저세트,3,금요일,0,1,0,0.0,0,겨울
2023-03-11,0,느티나무 셀프BBQ,1인 수저세트,3,토요일,0,1,0,0.0,0,겨울
2023-03-12,0,느티나무 셀프BBQ,1인 수저세트,3,일요일,1,0,0,0.0,0,겨울
2023-03-13,0,느티나무 셀프BBQ,1인 수저세트,3,월요일,1,0,0,0.0,0,겨울
2023-03-14,0,느티나무 셀프BBQ,1인 수저세트,3,화요일,1,0,0,0.0,0,겨울
2023-03-15,0,느티나무 셀프BBQ,1인 수저세트,3,수요일,1,0,0,0.0,0,겨울
2023-03-16,0,느티나무 셀프BBQ,1인 수저세트,3,목요일,1,0,0,0.0,0,겨울
2023-03-17,0,느티나무 셀프BBQ,1인 수저세트,3,금요일,0,1,0,0.0,0,겨울
2023-03-18,22,느티나무 셀프BBQ,1인 수저세트,3,토요일,0,1,0,0.0,0,겨울
2023-03-19,0,느티나무 셀프BBQ,1인 수저세트,3,일요일,1,0,0,0.0,0,겨울
2023-03-20,0,느티나무 셀프BBQ,1인 수저세트,3,월요일,1,0,0,0.0,0,겨울
2023-03-21,0,느티나무 셀프BBQ,1인 수저세트,3,화요일,1,0,0,0.0,0,겨울
2023-03-22,0,느티나무 셀프BBQ,1인 수저세트,3,수요일,1,0,0,0.0,0,겨울
2023-03-23,0,느티나무 셀프BBQ,1인 수저세트,3,목요일,1,0,0,0.0,0,겨울
2023-03-24,9,느티나무 셀프BBQ,1인 수저세트,3,금요일,0,1,0,0.0,0,겨울
2023-03-25,4,느티나무 셀프BBQ,1인 수저세트,3,토요일,0,1,0,0.0,0,겨울
2023-03-26,0,느티나무 셀프BBQ,1인 수저세트,3,일요일,1,0,0,0.0,0,겨울
2023-03-27,0,느티나무 셀프BBQ,1인 수저세트,3,월요일,1,0,0,0.0,0,겨울
2023-03-28,0,느티나무 셀프BBQ,1인 수저세트,3,화요일,1,0,0,0.0,0,겨울
2023-03-29,0,느티나무 셀프BBQ,1인 수저세트,3,수요일,1,0,0,0.0,0,겨울
2023-03-30,0,느티나무 셀프BBQ,1인 수저세트,3,목요일,1,0,0,0.0,0,겨울
2023-03-31,2,느티나무 셀프BBQ,1인 수저세트,3,금요일,0,1,0,0.0,0,겨울
2023-04-01,15,느티나무 셀프BBQ,1인 수저세트,4,토요일,0,1,0,0.0,0,봄
2023-04-02,4,느티나무 셀프BBQ,1인 수저세트,4,일요일,1,0,0,0.0,0,봄
2023-04-03,0,느티나무 셀프BBQ,1인 수저세트,4,월요일,1,0,0,0.0,0,봄
2023-04-04,0,느티나무 셀프BBQ,1인 수저세트,4,화요일,1,0,0,0.0,0,봄
2023-04-05,0,느티나무 셀프BBQ,1인 수저세트,4,수요일,1,0,0,0.0,0,봄
2023-04-06,0,느티나무 셀프BBQ,1인 수저세트,4,목요일,1,0,0,0.0,0,봄
2023-04-07,2,느티나무 셀프BBQ,1인 수저세트,4,금요일,0,1,0,0.0,0,봄
2023-04-08,6,느티나무 셀프BBQ,1인 수저세트,4,토요일,0,1,0,0.0,0,봄
2023-04-09,9,느티나무 셀프BBQ,1인 수저세트,4,일요일,1,0,0,0.0,0,봄
2023-04-10,0,느티나무 셀프BBQ,1인 수저세트,4,월요일,1,0,0,0.0,0,봄
2023-04-11,3,느티나무 셀프BBQ,1인 수저세트,4,화요일,1,0,0,0.0,0,봄
2023-04-12,0,느티나무 셀프BBQ,1인 수저세트,4,수요일,1,0,0,0.0,0,봄
2023-04-13,0,느티나무 셀프BBQ,1인 수저세트,4,목요일,1,0,0,0.0,0,봄
2023-04-14,4,느티나무 셀프BBQ,1인 수저세트,4,금요일,0,1,0,0.0,0,봄
2023-04-15,2,느티나무 셀프BBQ,1인 수저세트,4,토요일,0,1,0,0.0,0,봄
2023-04-16,4,느티나무 셀프BBQ,1인 수저세트,4,일요일,1,0,0,0.0,0,봄
2023-04-17,0,느티나무 셀프BBQ,1인 수저세트,4,월요일,1,0,0,0.0,0,봄
2023-04-18,0,느티나무 셀프BBQ,1인 수저세트,4,화요일,1,0,0,0.0,0,봄
2023-04-19,0,느티나무 셀프BBQ,1인 수저세트,4,수요일,1,0,0,0.0,0,봄
2023-04-20,0,느티나무 셀프BBQ,1인 수저세트,4,목요일,1,0,0,0.0,0,봄
2023-04-21,8,느티나무 셀프BBQ,1인 수저세트,4,금요일,0,1,0,0.0,0,봄
2023-04-22,5,느티나무 셀프BBQ,1인 수저세트,4,토요일,0,1,0,0.0,0,봄
2023-04-23,0,느티나무 셀프BBQ,1인 수저세트,4,일요일,1,0,0,0.0,0,봄
2023-04-24,0,느티나무 셀프BBQ,1인 수저세트,4,월요일,1,0,0,0.0,0,봄
2023-04-25,2,느티나무 셀프BBQ,1인 수저세트,4,화요일,1,0,0,0.0,0,봄
2023-04-26,0,느티나무 셀프BBQ,1인 수저세트,4,수요일,1,0,0,0.0,0,봄
2023-04-27,1,느티나무 셀프BBQ,1인 수저세트,4,목요일,1,0,0,0.0,0,봄
2023-04-28,16,느티나무 셀프BBQ,1인 수저세트,4,금요일,0,1,0,0.0,0,봄
2023-04-29,0,느티나무 셀프BBQ,1인 수저세트,4,토요일,0,1,0,0.0,0,봄
2023-04-30,10,느티나무 셀프BBQ,1인 수저세트,4,일요일,1,0,0,0.0,0,봄
2023-05-01,0,느티나무 셀프BBQ,1인 수저세트,5,월요일,1,0,1,1.0,0,봄
2023-05-02,0,느티나무 셀프BBQ,1인 수저세트,5,화요일,1,0,0,0.0,0,봄
2023-05-03,2,느티나무 셀프BBQ,1인 수저세트,5,수요일,1,0,0,0.0,0,봄
2023-05-04,12,느티나무 셀프BBQ,1인 수저세트,5,목요일,1,0,0,0.0,0,봄
2023-05-05,0,느티나무 셀프BBQ,1인 수저세트,5,금요일,0,1,1,1.0,0,봄
2023-05-06,22,느티나무 셀프BBQ,1인 수저세트,5,토요일,0,1,0,0.0,0,봄
2023-05-07,12,느티나무 셀프BBQ,1인 수저세트,5,일요일,1,0,0,0.0,0,봄
2023-05-08,0,느티나무 셀프BBQ,1인 수저세트,5,월요일,1,0,0,0.0,0,봄
2023-05-09,0,느티나무 셀프BBQ,1인 수저세트,5,화요일,1,0,0,0.0,0,봄
2023-05-10,0,느티나무 셀프BBQ,1인 수저세트,5,수요일,1,0,0,0.0,0,봄
2023-05-11,3,느티나무 셀프BBQ,1인 수저세트,5,목요일,1,0,0,0.0,0,봄
2023-05-12,0,느티나무 셀프BBQ,1인 수저세트,5,금요일,0,1,0,0.0,0,봄
2023-05-13,16,느티나무 셀프BBQ,1인 수저세트,5,토요일,0,1,0,0.0,0,봄
2023-05-14,7,느티나무 셀프BBQ,1인 수저세트,5,일요일,1,0,0,0.0,0,봄
2023-05-15,0,느티나무 셀프BBQ,1인 수저세트,5,월요일,1,0,0,0.0,0,봄
2023-05-16,0,느티나무 셀프BBQ,1인 수저세트,5,화요일,1,0,0,0.0,0,봄
2023-05-17,0,느티나무 셀프BBQ,1인 수저세트,5,수요일,1,0,0,0.0,0,봄
2023-05-18,0,느티나무 셀프BBQ,1인 수저세트,5,목요일,1,0,0,0.0,0,봄
2023-05-19,12,느티나무 셀프BBQ,1인 수저세트,5,금요일,0,1,0,0.0,0,봄
2023-05-20,22,느티나무 셀프BBQ,1인 수저세트,5,토요일,0,1,0,0.0,0,봄
2023-05-21,8,느티나무 셀프BBQ,1인 수저세트,5,일요일,1,0,0,0.0,0,봄
2023-05-22,0,느티나무 셀프BBQ,1인 수저세트,5,월요일,1,0,0,0.0,0,봄
2023-05-23,0,느티나무 셀프BBQ,1인 수저세트,5,화요일,1,0,0,0.0,0,봄
2023-05-24,0,느티나무 셀프BBQ,1인 수저세트,5,수요일,1,0,0,0.0,0,봄
2023-05-25,1,느티나무 셀프BBQ,1인 수저세트,5,목요일,1,0,0,0.0,0,봄
2023-05-26,7,느티나무 셀프BBQ,1인 수저세트,5,금요일,0,1,0,0.0,0,봄
2023-05-27,5,느티나무 셀프BBQ,1인 수저세트,5,토요일,0,1,1,1.0,0,봄
2023-05-28,6,느티나무 셀프BBQ,1인 수저세트,5,일요일,1,0,0,0.0,0,봄
2023-05-29,0,느티나무 셀프BBQ,1인 수저세트,5,월요일,1,0,0,0.0,0,봄
2023-05-30,0,느티나무 셀프BBQ,1인 수저세트,5,화요일,1,0,0,0.0,0,봄
2023-05-31,0,느티나무 셀프BBQ,1인 수저세트,5,수요일,1,0,0,0.0,0,봄
2023-06-01,4,느티나무 셀프BBQ,1인 수저세트,6,목요일,1,0,0,0.0,0,여름
2023-06-02,16,느티나무 셀프BBQ,1인 수저세트,6,금요일,0,1,0,0.0,0,여름
2023-06-03,10,느티나무 셀프BBQ,1인 수저세트,6,토요일,0,1,0,0.0,0,여름
2023-06-04,10,느티나무 셀프BBQ,1인 수저세트,6,일요일,1,0,0,0.0,0,여름
2023-06-05,16,느티나무 셀프BBQ,1인 수저세트,6,월요일,1,0,0,0.0,0,여름
2023-06-06,0,느티나무 셀프BBQ,1인 수저세트,6,화요일,1,0,1,1.0,0,여름
2023-06-07,0,느티나무 셀프BBQ,1인 수저세트,6,수요일,1,0,0,0.0,0,여름
2023-06-08,0,느티나무 셀프BBQ,1인 수저세트,6,목요일,1,0,0,0.0,0,여름
2023-06-09,0,느티나무 셀프BBQ,1인 수저세트,6,금요일,0,1,0,0.0,0,여름
2023-06-10,1,느티나무 셀프BBQ,1인 수저세트,6,토요일,0,1,0,0.0,0,여름
2023-06-11,2,느티나무 셀프BBQ,1인 수저세트,6,일요일,1,0,0,0.0,0,여름
2023-06-12,0,느티나무 셀프BBQ,1인 수저세트,6,월요일,1,0,0,0.0,0,여름
2023-06-13,4,느티나무 셀프BBQ,1인 수저세트,6,화요일,1,0,0,0.0,0,여름
2023-06-14,0,느티나무 셀프BBQ,1인 수저세트,6,수요일,1,0,0,0.0,0,여름
2023-06-15,1,느티나무 셀프BBQ,1인 수저세트,6,목요일,1,0,0,0.0,0,여름
2023-06-16,9,느티나무 셀프BBQ,1인 수저세트,6,금요일,0,1,0,0.0,0,여름
2023-06-17,4,느티나무 셀프BBQ,1인 수저세트,6,토요일,0,1,0,0.0,0,여름
2023-06-18,8,느티나무 셀프BBQ,1인 수저세트,6,일요일,1,0,0,0.0,0,여름
2023-06-19,0,느티나무 셀프BBQ,1인 수저세트,6,월요일,1,0,0,0.0,0,여름
2023-06-20,5,느티나무 셀프BBQ,1인 수저세트,6,화요일,1,0,0,0.0,0,여름
2023-06-21,0,느티나무 셀프BBQ,1인 수저세트,6,수요일,1,0,0,0.0,0,여름
2023-06-22,0,느티나무 셀프BBQ,1인 수저세트,6,목요일,1,0,0,0.0,0,여름
2023-06-23,4,느티나무 셀프BBQ,1인 수저세트,6,금요일,0,1,0,0.0,0,여름
2023-06-24,29,느티나무 셀프BBQ,1인 수저세트,6,토요일,0,1,0,0.0,0,여름
2023-06-25,6,느티나무 셀프BBQ,1인 수저세트,6,일요일,1,0,0,0.0,0,여름
2023-06-26,0,느티나무 셀프BBQ,1인 수저세트,6,월요일,1,0,0,0.0,0,여름
2023-06-27,0,느티나무 셀프BBQ,1인 수저세트,6,화요일,1,0,0,0.0,0,여름
2023-06-28,24,느티나무 셀프BBQ,1인 수저세트,6,수요일,1,0,0,0.0,0,여름
2023-06-29,3,느티나무 셀프BBQ,1인 수저세트,6,목요일,1,0,0,0.0,0,여름
2023-06-30,8,느티나무 셀프BBQ,1인 수저세트,6,금요일,0,1,0,0.0,0,여름
2023-07-01,15,느티나무 셀프BBQ,1인 수저세트,7,토요일,0,1,0,0.0,0,여름
2023-07-02,7,느티나무 셀프BBQ,1인 수저세트,7,일요일,1,0,0,0.0,0,여름
2023-07-03,0,느티나무 셀프BBQ,1인 수저세트,7,월요일,1,0,0,0.0,0,여름
2023-07-04,0,느티나무 셀프BBQ,1인 수저세트,7,화요일,1,0,0,0.0,0,여름
2023-07-05,0,느티나무 셀프BBQ,1인 수저세트,7,수요일,1,0,0,0.0,0,여름
2023-07-06,3,느티나무 셀프BBQ,1인 수저세트,7,목요일,1,0,0,0.0,0,여름
2023-07-07,19,느티나무 셀프BBQ,1인 수저세트,7,금요일,0,1,0,0.0,0,여름
2023-07-08,46,느티나무 셀프BBQ,1인 수저세트,7,토요일,0,1,0,0.0,0,여름
2023-07-09,5,느티나무 셀프BBQ,1인 수저세트,7,일요일,1,0,0,0.0,0,여름
2023-07-10,0,느티나무 셀프BBQ,1인 수저세트,7,월요일,1,0,0,0.0,0,여름
2023-07-11,0,느티나무 셀프BBQ,1인 수저세트,7,화요일,1,0,0,0.0,0,여름
2023-07-12,2,느티나무 셀프BBQ,1인 수저세트,7,수요일,1,0,0,0.0,0,여름
2023-07-13,10,느티나무 셀프BBQ,1인 수저세트,7,목요일,1,0,0,0.0,0,여름
2023-07-14,22,느티나무 셀프BBQ,1인 수저세트,7,금요일,0,1,0,0.0,0,여름
2023-07-15,15,느티나무 셀프BBQ,1인 수저세트,7,토요일,0,1,0,0.0,0,여름
2023-07-16,7,느티나무 셀프BBQ,1인 수저세트,7,일요일,1,0,0,0.0,0,여름
2023-07-17,14,느티나무 셀프BBQ,1인 수저세트,7,월요일,1,0,0,0.0,0,여름
2023-07-18,3,느티나무 셀프BBQ,1인 수저세트,7,화요일,1,0,0,0.0,0,여름
2023-07-19,12,느티나무 셀프BBQ,1인 수저세트,7,수요일,1,0,0,0.0,0,여름
2023-07-20,8,느티나무 셀프BBQ,1인 수저세트,7,목요일,1,0,0,0.0,0,여름
2023-07-21,16,느티나무 셀프BBQ,1인 수저세트,7,금요일,0,1,0,0.0,0,여름
2023-07-22,10,느티나무 셀프BBQ,1인 수저세트,7,토요일,0,1,0,0.0,0,여름
2023-07-23,15,느티나무 셀프BBQ,1인 수저세트,7,일요일,1,0,0,0.0,0,여름
2023-07-24,16,느티나무 셀프BBQ,1인 수저세트,7,월요일,1,0,0,0.0,0,여름
2023-07-25,10,느티나무 셀프BBQ,1인 수저세트,7,화요일,1,0,0,0.0,0,여름
2023-07-26,29,느티나무 셀프BBQ,1인 수저세트,7,수요일,1,0,0,0.0,0,여름
2023-07-27,13,느티나무 셀프BBQ,1인 수저세트,7,목요일,1,0,0,0.0,0,여름
2023-07-28,10,느티나무 셀프BBQ,1인 수저세트,7,금요일,0,1,0,0.0,0,여름
2023-07-29,9,느티나무 셀프BBQ,1인 수저세트,7,토요일,0,1,0,0.0,0,여름
2023-07-30,4,느티나무 셀프BBQ,1인 수저세트,7,일요일,1,0,0,0.0,0,여름
2023-07-31,18,느티나무 셀프BBQ,1인 수저세트,7,월요일,1,0,0,0.0,0,여름
2023-08-01,14,느티나무 셀프BBQ,1인 수저세트,8,화요일,1,0,0,0.0,0,여름
2023-08-02,9,느티나무 셀프BBQ,1인 수저세트,8,수요일,1,0,0,0.0,0,여름
2023-08-03,25,느티나무 셀프BBQ,1인 수저세트,8,목요일,1,0,0,0.0,0,여름
2023-08-04,14,느티나무 셀프BBQ,1인 수저세트,8,금요일,0,1,0,0.0,0,여름
2023-08-05,27,느티나무 셀프BBQ,1인 수저세트,8,토요일,0,1,0,0.0,0,여름
2023-08-06,7,느티나무 셀프BBQ,1인 수저세트,8,일요일,1,0,0,0.0,0,여름
2023-08-07,23,느티나무 셀프BBQ,1인 수저세트,8,월요일,1,0,0,0.0,0,여름
2023-08-08,12,느티나무 셀프BBQ,1인 수저세트,8,화요일,1,0,0,0.0,0,여름
2023-08-09,18,느티나무 셀프BBQ,1인 수저세트,8,수요일,1,0,0,0.0,0,여름
2023-08-10,0,느티나무 셀프BBQ,1인 수저세트,8,목요일,1,0,0,0.0,0,여름
2023-08-11,16,느티나무 셀프BBQ,1인 수저세트,8,금요일,0,1,0,0.0,0,여름
2023-08-12,15,느티나무 셀프BBQ,1인 수저세트,8,토요일,0,1,0,0.0,0,여름
2023-08-13,28,느티나무 셀프BBQ,1인 수저세트,8,일요일,1,0,0,0.0,0,여름
2023-08-14,19,느티나무 셀프BBQ,1인 수저세트,8,월요일,1,0,0,0.0,0,여름
2023-08-15,13,느티나무 셀프BBQ,1인 수저세트,8,화요일,1,0,1,1.0,0,여름
2023-08-16,9,느티나무 셀프BBQ,1인 수저세트,8,수요일,1,0,0,0.0,0,여름
2023-08-17,10,느티나무 셀프BBQ,1인 수저세트,8,목요일,1,0,0,0.0,0,여름
2023-08-18,8,느티나무 셀프BBQ,1인 수저세트,8,금요일,0,1,0,0.0,0,여름
2023-08-19,19,느티나무 셀프BBQ,1인 수저세트,8,토요일,0,1,0,0.0,0,여름
2023-08-20,14,느티나무 셀프BBQ,1인 수저세트,8,일요일,1,0,0,0.0,0,여름
2023-08-21,4,느티나무 셀프BBQ,1인 수저세트,8,월요일,1,0,0,0.0,0,여름
2023-08-22,0,느티나무 셀프BBQ,1인 수저세트,8,화요일,1,0,0,0.0,0,여름
2023-08-23,5,느티나무 셀프BBQ,1인 수저세트,8,수요일,1,0,0,0.0,0,여름
2023-08-24,13,느티나무 셀프BBQ,1인 수저세트,8,목요일,1,0,0,0.0,0,여름
2023-08-25,27,느티나무 셀프BBQ,1인 수저세트,8,금요일,0,1,0,0.0,0,여름
2023-08-26,1,느티나무 셀프BBQ,1인 수저세트,8,토요일,0,1,0,0.0,0,여름
2023-08-27,39,느티나무 셀프BBQ,1인 수저세트,8,일요일,1,0,0,0.0,0,여름
2023-08-28,0,느티나무 셀프BBQ,1인 수저세트,8,월요일,1,0,0,0.0,0,여름
2023-08-29,0,느티나무 셀프BBQ,1인 수저세트,8,화요일,1,0,0,0.0,0,여름
2023-08-30,0,느티나무 셀프BBQ,1인 수저세트,8,수요일,1,0,0,0.0,0,여름
2023-08-31,4,느티나무 셀프BBQ,1인 수저세트,8,목요일,1,0,0,0.0,0,여름
2023-09-01,17,느티나무 셀프BBQ,1인 수저세트,9,금요일,0,1,0,0.0,0,가을
2023-09-02,35,느티나무 셀프BBQ,1인 수저세트,9,토요일,0,1,0,0.0,0,가을
2023-09-03,6,느티나무 셀프BBQ,1인 수저세트,9,일요일,1,0,0,0.0,0,가을
2023-09-04,0,느티나무 셀프BBQ,1인 수저세트,9,월요일,1,0,0,0.0,0,가을
2023-09-05,0,느티나무 셀프BBQ,1인 수저세트,9,화요일,1,0,0,0.0,0,가을
2023-09-06,2,느티나무 셀프BBQ,1인 수저세트,9,수요일,1,0,0,0.0,0,가을
2023-09-07,5,느티나무 셀프BBQ,1인 수저세트,9,목요일,1,0,0,0.0,0,가을
2023-09-08,8,느티나무 셀프BBQ,1인 수저세트,9,금요일,0,1,0,0.0,0,가을
2023-09-09,31,느티나무 셀프BBQ,1인 수저세트,9,토요일,0,1,0,0.0,0,가을
2023-09-10,4,느티나무 셀프BBQ,1인 수저세트,9,일요일,1,0,0,0.0,0,가을
2023-09-11,0,느티나무 셀프BBQ,1인 수저세트,9,월요일,1,0,0,0.0,0,가을
2023-09-12,0,느티나무 셀프BBQ,1인 수저세트,9,화요일,1,0,0,0.0,0,가을
2023-09-13,0,느티나무 셀프BBQ,1인 수저세트,9,수요일,1,0,0,0.0,0,가을
2023-09-14,36,느티나무 셀프BBQ,1인 수저세트,9,목요일,1,0,0,0.0,0,가을
2023-09-15,7,느티나무 셀프BBQ,1인 수저세트,9,금요일,0,1,0,0.0,0,가을
2023-09-16,15,느티나무 셀프BBQ,1인 수저세트,9,토요일,0,1,0,0.0,0,가을
2023-09-17,2,느티나무 셀프BBQ,1인 수저세트,9,일요일,1,0,0,0.0,0,가을
2023-09-18,0,느티나무 셀프BBQ,1인 수저세트,9,월요일,1,0,0,0.0,0,가을
2023-09-19,0,느티나무 셀프BBQ,1인 수저세트,9,화요일,1,0,0,0.0,0,가을
2023-09-20,2,느티나무 셀프BBQ,1인 수저세트,9,수요일,1,0,0,0.0,0,가을
2023-09-21,0,느티나무 셀프BBQ,1인 수저세트,9,목요일,1,0,0,0.0,0,가을
2023-09-22,0,느티나무 셀프BBQ,1인 수저세트,9,금요일,0,1,0,0.0,0,가을
2023-09-23,15,느티나무 셀프BBQ,1인 수저세트,9,토요일,0,1,0,0.0,0,가을
2023-09-24,15,느티나무 셀프BBQ,1인 수저세트,9,일요일,1,0,0,0.0,0,가을
2023-09-25,0,느티나무 셀프BBQ,1인 수저세트,9,월요일,1,0,0,0.0,0,가을
2023-09-26,0,느티나무 셀프BBQ,1인 수저세트,9,화요일,1,0,0,0.0,0,가을
2023-09-27,5,느티나무 셀프BBQ,1인 수저세트,9,수요일,1,0,0,0.0,0,가을
